weather_date,has_avalanche,Лавинный очаг (место схода),Дата схода,Время,Площадь,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,weather_code,sunrise,sunset,daylight_duration,et0_fao_evapotranspiration,wind_speed_10m_max,wind_direction_10m_dominant,Условия схода_АВ,Условия схода_Лыжник,Условия схода_Сноубордист,Условия схода_Турист,Экспозиция_ЮЗ,Экспозиция_З,Экспозиция_ЮЮЗ,Экспозиция_ЮЮВ,Экспозиция_ЮВ,Экспозиция_СЗ,Экспозиция_СВ,Экспозиция_ВЮВ,Экспозиция_В,Экспозиция_Ю
2019-12-31,1,43,2020-01-01,,,-14.55,0.2,0.0,0.14,2.0,71.0,0,0,4075.2483,0.0049599996,4.548626,326.45996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31,1,229,2020-01-01,,,-14.55,0.2,0.0,0.14,2.0,71.0,0,0,4075.2483,0.0049599996,4.548626,326.45996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31,1,231,2020-01-01,,,-14.55,0.2,0.0,0.14,2.0,71.0,0,0,4075.2483,0.0049599996,4.548626,326.45996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31,1,Поачвумчорр,2020-01-01,,,-14.55,0.2,0.0,0.14,2.0,71.0,0,0,4075.2483,0.0049599996,4.548626,326.45996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,1,43,2020-01-01,,,-11.810416,8.799999,0.0,6.16,15.0,75.0,0,0,4798.654,0.0,4.651881,343.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,1,229,2020-01-01,,,-11.810416,8.799999,0.0,6.16,15.0,75.0,0,0,4798.654,0.0,4.651881,343.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,1,231,2020-01-01,,,-11.810416,8.799999,0.0,6.16,15.0,75.0,0,0,4798.654,0.0,4.651881,343.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,1,Поачвумчорр,2020-01-01,,,-11.810416,8.799999,0.0,6.16,15.0,75.0,0,0,4798.654,0.0,4.651881,343.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,,,,,-5.4041667,6.8,0.099999994,4.69,11.0,75.0,0,0,5478.2773,0.0,5.1971145,265.14044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,,,,,-9.127083,3.2999997,0.0,2.3100002,15.0,73.0,0,0,6127.867,0.050299533,6.6753273,271.8548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
